Epoch,Time (seconds),Train Loss (Latency),Train Loss (PDR),Total Train Loss,Val Loss (Latency),Val Loss (PDR),Total Val Loss,Train RMSE (Latency),Train RMSE (PDR),Total Train RMSE,Val RMSE (Latency),Val RMSE (PDR),Total Val RMSE
1,18.250455141067505,0.019512075930833817,0.001353638363070786,0.020866135135293007,0.011089375242590904,0.00025354494573548436,0.011343744583427906,0.20892654359340668,0.6142789125442505,0.14445115138098763,0.20132379233837128,0.015152253210544586,0.10650701659246636
2,16.248894453048706,0.012131968513131142,0.00010727316839620471,0.012238564901053905,0.010038871318101883,4.686530519393273e-05,0.010088425129652023,0.2237062007188797,0.615059494972229,0.11062804753340766,0.20936977863311768,0.006714182440191507,0.10044115257030867
3,16.194347858428955,0.011266089975833893,7.517719495808706e-05,0.011340340599417686,0.010168492794036865,2.196154309785925e-05,0.01019155140966177,0.22511249780654907,0.6151677966117859,0.10649103530071292,0.19502291083335876,0.004381540231406689,0.100953213964003
4,15.784022331237793,0.010929584503173828,6.128274253569543e-05,0.010991064831614494,0.009146854281425476,8.731325578992255e-06,0.009158730506896973,0.2261224091053009,0.6153458952903748,0.10483827941937283,0.2059088498353958,0.002817624481394887,0.09570125655861042
5,15.898679494857788,0.010657540522515774,5.7519919209880754e-05,0.010715141892433167,0.00936806108802557,7.557721255579963e-05,0.009447136893868446,0.22649985551834106,0.6150340437889099,0.10351396955210039,0.20824584364891052,0.00867150817066431,0.09719638313161888
6,15.179591417312622,0.010549275204539299,5.256923395791091e-05,0.010601924732327461,0.009004163555800915,1.0330256372981239e-05,0.00901817250996828,0.2269483208656311,0.6151422262191772,0.10296564831208252,0.20201832056045532,0.0030996797140687704,0.09496405904324162
7,14.859142303466797,0.010273993015289307,6.226565892575309e-05,0.010336359962821007,0.00881337933242321,1.042496478476096e-05,0.00882746186107397,0.22698016464710236,0.6154114603996277,0.1016678905201687,0.20967209339141846,0.003123178379610181,0.09395457339094235
8,14.984704971313477,0.010039501823484898,6.16363322478719e-05,0.01010123174637556,0.008881622925400734,9.440314897801727e-06,0.008894858881831169,0.22745206952095032,0.6151303648948669,0.10050488419164295,0.21303102374076843,0.0029213312081992626,0.09431255951267131
9,15.481213331222534,0.010065066628158092,5.413985491031781e-05,0.010119232349097729,0.008754853159189224,1.2725471606245264e-05,0.008771500550210476,0.22754612565040588,0.6155902147293091,0.10059439521711798,0.21254287660121918,0.0034827436320483685,0.09365628943221313
10,15.247620105743408,0.009879938326776028,5.329474515747279e-05,0.009932869113981724,0.00914021022617817,2.4093262254609726e-05,0.009168014861643314,0.22784017026424408,0.6146835684776306,0.09966378035164893,0.21851669251918793,0.004832514561712742,0.09574975123541217
