Epoch,Time (seconds),Train Loss (Latency),Train Loss (PDR),Total Train Loss,Val Loss (Latency),Val Loss (PDR),Total Val Loss,Train RMSE (Latency),Train RMSE (PDR),Total Train RMSE,Val RMSE (Latency),Val RMSE (PDR),Total Val RMSE
1,11.879728555679321,0.013763980008661747,0.0007327084895223379,0.014496788382530212,0.010666664689779282,0.0001879273768281564,0.010858205147087574,0.22242030501365662,0.6150627136230469,0.1204026095337232,0.20313075184822083,0.013082698918879032,0.10420271180294481
2,9.596656322479248,0.011733773164451122,0.0002255684812553227,0.011959041468799114,0.010645242407917976,0.00020264170598238707,0.010850503109395504,0.2249213457107544,0.614726185798645,0.10935740244171455,0.196959987282753,0.013775217346847057,0.10416574825438304
3,9.578249216079712,0.011377348564565182,0.0001409579417668283,0.011518365703523159,0.009981239214539528,5.299216718412936e-05,0.010036805644631386,0.22586001455783844,0.6152364015579224,0.10732364932074924,0.19344590604305267,0.00676759472116828,0.1001838592021259
4,9.482121229171753,0.011118954047560692,0.00012176619202364236,0.011241013184189796,0.009539655409753323,8.258323941845447e-05,0.009625955484807491,0.2256520837545395,0.6153695583343506,0.10602364445815753,0.21211175620555878,0.008931586518883705,0.09811195383238218
5,9.713030338287354,0.010953797027468681,0.00010248900798615068,0.011056139133870602,0.00925101526081562,7.106499106157571e-05,0.009325720369815826,0.22624656558036804,0.6151517033576965,0.10514817703541322,0.20949327945709229,0.00826518889516592,0.09656976944062684
6,9.513572692871094,0.010762986727058887,9.859601414063945e-05,0.01086190901696682,0.01032518781721592,6.891065277159214e-05,0.010398413054645061,0.22616694867610931,0.6150397062301636,0.10422048271317313,0.21569816768169403,0.008201135322451591,0.1019726093352772
7,9.303362369537354,0.010620341636240482,0.00010174655471928418,0.010721980594098568,0.00984747800976038,3.0021035854588263e-05,0.00988092739135027,0.22667233645915985,0.6149933338165283,0.10354699703080997,0.20092253386974335,0.005321095231920481,0.0994028540402652
8,9.272074937820435,0.010540920309722424,0.00010400416795164347,0.010645156726241112,0.009756236337125301,0.00011150109639856964,0.009870095178484917,0.22682002186775208,0.615096390247345,0.10317536879624474,0.20622028410434723,0.010156231001019478,0.09934835267121905
9,9.231359243392944,0.010714945383369923,9.438276174478233e-05,0.010809505358338356,0.00959673523902893,6.36741315247491e-05,0.009663885459303856,0.226895272731781,0.6150506138801575,0.10396877107255983,0.20784933865070343,0.007879413664340973,0.0983050632434762
10,9.285512924194336,0.01041759829968214,9.039251017384231e-05,0.010507181286811829,0.009928800165653229,5.906049409531988e-05,0.00999249704182148,0.22685310244560242,0.6150487661361694,0.10250454276182996,0.2211160510778427,0.0075755007565021515,0.09996247816966865
11,9.415894985198975,0.010315081104636192,8.385831461055204e-05,0.01039927639067173,0.009758909232914448,0.0001568971638334915,0.009919509291648865,0.22718694806098938,0.6151052713394165,0.10197684242352148,0.22261768579483032,0.012443394400179386,0.0995967333382419
12,9.362000226974487,0.010393737815320492,7.816493598511443e-05,0.010471842251718044,0.009326504543423653,3.1910676625557244e-05,0.009361514821648598,0.22718070447444916,0.6146525740623474,0.10233201967965865,0.214230015873909,0.005536421202123165,0.09675492143373689
13,9.25318956375122,0.010280816815793514,8.35131504572928e-05,0.010364660993218422,0.009379507042467594,5.857730138814077e-05,0.009441575966775417,0.22730623185634613,0.6150301098823547,0.10180697909877506,0.2141328603029251,0.007556016091257334,0.09716777226413816
14,9.321619987487793,0.010323591530323029,8.014483319129795e-05,0.01040400005877018,0.008758249692618847,6.969022797420621e-05,0.008831462822854519,0.22732821106910706,0.6154899001121521,0.10200000028808912,0.20660941302776337,0.008313405327498913,0.09397586298009994
15,9.272357702255249,0.0102665601298213,8.067998714977875e-05,0.010347126983106136,0.008854790590703487,2.071693779726047e-05,0.008878911845386028,0.22727754712104797,0.6150231957435608,0.10172082865915975,0.20391151309013367,0.004454193636775017,0.09422797803935956
